tissue,sample_id,signature,n_genes_used,signature_score
Heart - Atrial Appendage,GTEX-147JS-1326-SM-5SI6D,MitoOnly,518,0.872910145335016
Heart - Atrial Appendage,GTEX-148VJ-1426-SM-5TDE3,MitoAll,1101,-0.054018315229324765
Heart - Atrial Appendage,GTEX-148VJ-1426-SM-5TDE3,MitoOnly,518,-0.03766788534956496
Heart - Atrial Appendage,GTEX-14A5I-1026-SM-5Q5E3,MitoAll,1101,0.42402117494171493
Heart - Atrial Appendage,GTEX-14A5I-1026-SM-5Q5E3,MitoOnly,518,0.4157042263651506
Heart - Atrial Appendage,GTEX-14A6H-0326-SM-5NQAN,MitoAll,1101,0.503075035557552
Heart - Atrial Appendage,GTEX-14A6H-0326-SM-5NQAN,MitoOnly,518,0.586635717578129
Heart - Atrial Appendage,GTEX-14ABY-1426-SM-GNTBB,MitoAll,1101,-0.09326149076727624
Heart - Atrial Appendage,GTEX-14ABY-1426-SM-GNTBB,MitoOnly,518,-0.07216747846021307
Heart - Atrial Appendage,GTEX-14ASI-0826-SM-5Q5EB,MitoAll,1101,0.7664106620164479
Heart - Atrial Appendage,GTEX-14ASI-0826-SM-5Q5EB,MitoOnly,518,0.823355916539085
Heart - Atrial Appendage,GTEX-14BIL-0926-SM-5PNXC,MitoAll,1101,0.40425555790237583
Heart - Atrial Appendage,GTEX-14BIL-0926-SM-5PNXC,MitoOnly,518,0.41598765910883717
Heart - Atrial Appendage,GTEX-14BIM-2726-SM-5Q5EG,MitoAll,1101,0.28753719008995615
Heart - Atrial Appendage,GTEX-14BIM-2726-SM-5Q5EG,MitoOnly,518,0.3312131884685958
Heart - Atrial Appendage,GTEX-14BIN-2126-SM-5PNUY,MitoAll,1101,-0.06989242577408337
Heart - Atrial Appendage,GTEX-14BIN-2126-SM-5PNUY,MitoOnly,518,-0.09217243732250473
Heart - Atrial Appendage,GTEX-14BMV-1026-SM-5SI6B,MitoAll,1101,-0.035191185654015064
Heart - Atrial Appendage,GTEX-14BMV-1026-SM-5SI6B,MitoOnly,518,0.008767017517030113
Heart - Atrial Appendage,GTEX-14C38-1326-SM-62LDK,MitoAll,1101,0.05194864039910808
Heart - Atrial Appendage,GTEX-14C38-1326-SM-62LDK,MitoOnly,518,0.04690261427051307
Heart - Atrial Appendage,GTEX-14C39-0726-SM-5RQIK,MitoAll,1101,-0.5155091686295616
Heart - Atrial Appendage,GTEX-14C39-0726-SM-5RQIK,MitoOnly,518,-0.5261090003580546
